title,nb_avis,notes_moyennes,note_max,note_min,ecart-type,nb_commentaires
Greenville 1989,55,7.763636363636364,10.0,0.0,2.123150629381091,55
Soupe à la grenouille,3,8.333333333333334,9.0,7.0,0.9428090415820634,3
Push'em up !,6,6.333333333333333,8.0,2.0,2.0548046676563256,6
"Minuit, Meurtre en Mer : Le Jour et la Nuit",4,9.25,10.0,8.0,0.82915619758885,4
El Maestro,6,7.166666666666667,9.0,6.0,1.0671873729054748,6
Draftosaurus,95,7.589473684210526,10.0,2.0,1.4973291087245297,95
Sherlock : La tombe de l'archéologue,2,7.5,8.0,7.0,0.5,2
Space Gate Odyssey,30,7.933333333333334,10.0,2.0,1.6719914938645932,30
"THE 7th CONTINENT – Dans les airs, sous la terre.",11,8.545454545454545,10.0,7.0,0.8907235428302467,11
Dice Forge - Rébellion,27,8.333333333333334,10.0,7.0,1.018350154434631,27
Fugitive,20,8.5,10.0,5.0,1.118033988749895,20
Singin' in the game !,10,8.4,10.0,3.0,1.9595917942265426,10
Mindo : Licorne,1,7.0,7.0,7.0,0.0,1
Sherlock : Dernier appel,10,7.9,10.0,6.0,1.1357816691600546,10
Res Arcana,150,8.66,10.0,3.0,1.513626990597969,150
Nessos,15,7.333333333333333,10.0,0.0,2.4675674031095665,15
Mint Delivery,18,6.444444444444445,10.0,3.0,1.8019194155807616,18
"Kingdomino - Extension ""Age of Giants""",40,7.775,10.0,2.0,1.781677580259683,40
Lâche pas la Savonnette,16,6.75,10.0,1.0,2.1360009363293826,16
Loup-Garou Epic Battle,6,7.833333333333333,10.0,6.0,1.3437096247164249,6
"Explorateurs de la Mer du Nord - Extension ""Écueils de la Perdition""",2,9.5,10.0,9.0,0.5,2
EXIT - L'Île Oubliée,10,5.3,9.0,0.0,3.034798181098704,10
Serial Battle,5,8.2,10.0,5.0,1.9390719429665315,5
Troïka,8,6.125,9.0,3.0,1.7633419974582356,8
Osiris - Un Voyage Vers l'Au-Delà,10,6.2,10.0,2.0,2.3579652245103193,10
Ganymede,122,8.434426229508198,10.0,3.0,1.4314254326188551,122
Big Monster,55,8.309090909090909,10.0,3.0,1.7254535875081152,55
SAM la Pagaille !,6,8.833333333333334,10.0,7.0,1.0671873729054748,6
Très Futé !,75,8.186666666666667,10.0,0.0,1.5636993175017875,75
PEANUT CLUB,31,7.451612903225806,10.0,5.0,1.4105297489726092,31
Seals,2,6.5,10.0,3.0,3.5,2
Arkans,2,7.5,9.0,6.0,1.5,2
EXIT - Le Château Interdit,12,5.833333333333333,9.0,1.0,2.6404965862924765,12
Dragons,12,5.5,9.0,0.0,2.565800719723442,12
Sagrada,73,7.917808219178082,10.0,0.0,1.6448626928374934,73
Alien Artifacts,6,8.166666666666666,10.0,7.0,1.0671873729054748,6
Mint Works,46,7.978260869565218,10.0,2.0,1.5249965136778765,46
Bad Bones,36,8.0,10.0,5.0,1.1055415967851334,36
Samsara,17,8.176470588235293,10.0,4.0,1.8225803982152546,17
Sorcerer City,1,8.0,8.0,8.0,0.0,1
OFFICINALIS,6,5.833333333333333,10.0,4.0,1.9507833184532708,6
Dany,33,8.030303030303031,10.0,1.0,1.8337715479281549,33
L'Expédition Perdue,52,7.846153846153846,10.0,5.0,1.166596222161777,52
Le ciel interdit,12,7.166666666666667,9.0,5.0,0.9860132971832694,12
Dominations : Road to Civilization,22,8.318181818181818,10.0,0.0,1.9860047522684976,22
Clank! dans l'Espace!,7,8.142857142857142,10.0,4.0,1.884415136896131,7
Unlock! Heroic Adventures,51,8.784313725490197,10.0,6.0,1.193343063113956,51
Chronicles of Crime - Noir,9,8.777777777777779,10.0,8.0,0.628539361054709,9
Squadro,6,7.0,10.0,2.0,2.581988897471611,6
Daimyo - La Renaissance de l'Empire,24,8.375,10.0,5.0,1.2520816001097266,24
PELEGRINUS,1,7.0,7.0,7.0,0.0,1
Cthulhu – L’avènement,6,6.0,9.0,1.0,2.581988897471611,6
Monster Slaughter,31,8.064516129032258,10.0,4.0,1.6251150603625806,31
SizeUP,3,7.666666666666667,9.0,6.0,1.247219128924647,3
